City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Kurumkan,RU,54.3,110.3,-1.95,93,28,2.39,scattered clouds
254,Iralaya,HN,15.0,-83.2333,77.16,80,100,11.32,overcast clouds
255,Beidao,CN,34.5686,105.8933,28.62,69,100,2.77,overcast clouds
256,Abha,SA,18.2164,42.5053,49.82,29,0,4.61,clear sky
257,Rock Springs,US,41.5875,-109.2029,11.05,74,100,25.32,overcast clouds
258,Evanston,US,42.0411,-87.6901,50.11,82,100,9.22,overcast clouds
259,Avera,US,33.194,-82.5271,60.31,97,100,3.0,light rain
260,Teguldet,RU,57.3064,88.1667,17.65,87,100,8.93,overcast clouds
261,Batemans Bay,AU,-35.7167,150.1833,70.92,87,100,2.66,overcast clouds
262,Jalu,LY,29.0331,21.5482,57.47,84,93,9.33,overcast clouds
263,Palana,RU,59.1167,159.9667,-6.79,85,79,16.58,broken clouds
264,Cherskiy,RU,68.75,161.3,-42.45,96,100,4.12,overcast clouds
265,Lodwar,KE,3.1191,35.5973,81.77,39,99,4.47,overcast clouds
266,Grindavik,IS,63.8424,-22.4338,35.55,93,75,2.3,broken clouds
267,Barroso,BR,-21.1869,-43.9758,64.9,94,98,2.93,overcast clouds
268,Ranipur,PK,27.2879,68.5051,60.85,34,0,16.44,clear sky
269,Vermillion,US,42.7794,-96.9292,20.66,83,100,17.98,overcast clouds
270,Kananga,CD,-5.8958,22.4178,68.61,96,100,1.81,light rain
271,Vila Velha,BR,-20.3297,-40.2925,76.95,91,0,3.44,clear sky
272,Tieli,CN,46.95,128.05,-3.35,95,100,3.76,overcast clouds
273,Banepa,NP,27.6298,85.5214,41.32,93,20,2.3,mist
274,Inirida,CO,3.8653,-67.9239,77.09,74,69,2.51,broken clouds
275,Kaitangata,NZ,-46.2817,169.8464,55.22,95,100,7.27,overcast clouds
276,Rio Cuarto,AR,-33.1307,-64.3499,62.67,74,92,3.65,overcast clouds
277,Kupang,ID,-10.1667,123.5833,76.08,91,100,4.56,overcast clouds
278,Soyo,AO,-6.1349,12.3689,78.8,84,100,4.5,moderate rain
279,Dalian,CN,38.9122,121.6022,24.73,36,0,11.18,clear sky
280,Longyearbyen,SJ,78.2186,15.6401,-0.56,78,20,2.3,few clouds
281,Okhotsk,RU,59.3833,143.3,-5.13,75,0,16.87,clear sky
282,Rio Gallegos,AR,-51.6226,-69.2181,66.25,32,0,11.5,clear sky
283,Moindou,NC,-21.6924,165.677,93.15,58,75,2.8,broken clouds
284,Freeport,US,40.6576,-73.5832,44.56,82,0,4.61,clear sky
285,Saint-Paul,RE,-21.0096,55.2707,78.89,84,100,20.18,light rain
286,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,77,20,5.75,few clouds
287,San Quintin,MX,30.4833,-115.95,58.17,72,49,12.93,scattered clouds
288,Amahai,ID,-3.3333,128.9167,79.7,81,100,11.12,moderate rain
289,Dwarka,IN,22.2394,68.9678,72.07,79,0,10.6,clear sky
290,Wexford,IE,52.3342,-6.4575,52.66,84,100,21.97,overcast clouds
291,Magugu,TZ,-4.0167,35.7667,65.19,90,100,1.83,light rain
292,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,40,21.85,light rain
293,Port Macquarie,AU,-31.4333,152.9167,80.56,70,66,6.13,light rain
294,Waidhofen,DE,48.5833,11.3333,40.59,89,75,13.8,broken clouds
295,Pontal Do Parana,BR,-25.6533,-48.5128,80.26,92,88,1.59,overcast clouds
296,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-3.95,94,92,6.35,overcast clouds
297,Jalingo,NG,8.8833,11.3667,74.68,17,63,4.65,broken clouds
