City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Limpapa,PH,81.73,overcast clouds,7.1197,121.9106,The Ranch ZC
474,Pandan,PH,78.37,overcast clouds,14.0453,124.1694,Bonifacio Lodge
476,Namibe,AO,76.14,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
479,Eureka,US,45.19,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
480,Carutapera,BR,78.71,overcast clouds,-1.195,-46.02,Lidera
481,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
482,Minab,IR,66.52,clear sky,27.1467,57.0801,Bam campground
483,Temple,US,77.59,clear sky,31.0982,-97.3428,Hilton Garden Inn Temple Medical Center
484,Clifton,US,44.58,clear sky,40.8584,-74.1638,Quality Urban Housing
485,Morondava,MG,81.05,few clouds,-20.2833,44.2833,La Case Bambou
486,Muroto,JP,44.64,clear sky,33.2833,134.15,Oota Ryokan
488,Akyab,MM,68.9,scattered clouds,20.15,92.9,Hotel Memory
489,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
492,Constantine,DZ,42.21,few clouds,36.365,6.6147,Grand Hotel Cirta
493,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
497,Ugoofaaru,MV,81.91,clear sky,5.6667,73.0,Ungoofaaru Inn
500,Ahipara,NZ,77.7,few clouds,-35.1667,173.1667,Ahipara Holiday Park
501,Bari,IT,53.87,few clouds,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
502,Sao Filipe,CV,70.83,scattered clouds,14.8961,-24.4956,Hotel Xaguate
503,Akcakoca,TR,49.57,clear sky,41.0866,31.1162,Turkuaz Beach Otel
504,Trelew,AR,54.45,scattered clouds,-43.249,-65.3051,Hotel Touring Club
